SKU,Code,Category,Number,Name,ImageFile,Stock,Location
線材-螢幕線-1001,線材,螢幕線,1001,DP to DP (2M),線材-螢幕線-1001.jpg,1,南
線材-螢幕線-1021,線材,螢幕線,1021,HDMI 延長線(1M),線材-螢幕線-1021.jpg,1,南
線材-螢幕線-1041,線材,螢幕線,1041,DVI 18pine (2M),線材-螢幕線-1041.JPG,2,嘉基
線材-螢幕線-1042,線材,螢幕線,1042,DVI 24 pine (2M),線材-螢幕線-1042.JPG,1,南
線材-螢幕線-1051,線材,螢幕線,1051,VGA (2M),線材-螢幕線-1051.jpg,1,南
線材-螢幕線-1022,線材,螢幕線,1022,HDMI (1.8M),線材-螢幕線-1022.jpg,2,南
線材-傳輸線-1001,線材,傳輸線,1001,BNC (25ft=7.6M),線材-傳輸線-1001.jpg,7,南
線材-傳輸線-1002,線材,傳輸線,1002,BNC (25cm),線材-傳輸線-1002.jpg,1,南
線材-光纖-1001,線材,光纖,1001,粗光纖 (電燒機專用),線材-光纖-1001.JPG,1,南
線材-光纖-1002,線材,光纖,1002,粗光纖 (32ft=10M),線材-光纖-1002.jpg,1,南
線材-光纖-1003,線材,光纖,1003,粗光纖 (50ft=15M),線材-光纖-1003.JPG,2,南
線材-光纖-1004,線材,光纖,1004,粗光纖 (65ft=20M),線材-光纖-1004.JPG,1,南
線材-光纖-1012,線材,光纖,1012,細光纖 (32ft=10M),線材-光纖-1012.JPG,1,南
線材-光纖-1013,線材,光纖,1013,細光纖 (50ft=15M),線材-光纖-1013.JPG,2,南
線材-光纖-1014,線材,光纖,1014,細光纖 (64ft=20M),線材-光纖-1014.JPG,1,南
線材-光纖-1006,線材,光纖,1006,粗光纖 (100ft=30M),,0,南
線材-光纖-1005,線材,光纖,1005,粗光纖 (82ft=25M),,0,南
線材-光纖-1015,線材,光纖,1015,細光纖 (82ft=25M),,0,南
線材-光纖-1016,線材,光纖,1016,細光纖 (100ft=30M),,0,南
線材-傳輸線-1011,線材,傳輸線,1011,RS-232 公/母 (3ft=90cm),線材-傳輸線-1011.JPG,3,南
線材-傳輸線-1012,線材,傳輸線,1012,RS-232 公/母 (3M),線材-傳輸線-1012.JPG,1,南
線材-傳輸線-1013,線材,傳輸線,1013,RS-232 母/母 (10ft=3M),線材-傳輸線-1013.JPG,2,南
線材-傳輸線-1015,線材,傳輸線,1015,RS-232 公/母 (25ft=7.6M),線材-傳輸線-1015.JPG,1,南
線材-傳輸線-1018,線材,傳輸線,1018,RS-232 母/母 (10ft=3M) cryocath,線材-傳輸線-1018.JPG,2,南
線材-傳輸線-1019,線材,傳輸線,1019,RS-232 母/母 (25ft=7.6M) cryocath,線材-傳輸線-1019.JPG,3,南
線材-傳輸線-1014,線材,傳輸線,1014,RS-232 公/母 (6ft=1.8M) ,線材-傳輸線-1014.JPG,2,南
線材-傳輸線-1021,線材,傳輸線,1021,RS-232 to 網路線(RJ45-10pine ),線材-傳輸線-1021.JPG,1,南
